empresa,03/04/2020,04/04/2020_Cerrado,05/04/2020_Cerrado,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020_Cerrado
TOTAL,6581.6,6581.6,6581.6,6799.6,7002.0,6951.8,7070.6,7070.6
ACCIONA,90.15,90.15,90.15,93.5,95.5,97.1,97.25,97.25
ACERINOX,6.16,6.16,6.16,6.49,6.732,6.55,6.834,6.834
ACS,16.9,16.9,16.9,17.95,19.845,19.695,20.0,20.0
AENA,102.5,102.5,102.5,109.4,114.9,114.8,121.5,121.5
AMADEUS,42.0,42.0,42.0,42.02,49.0,48.37,49.7,49.7
ARCELORMIT.,7.837,7.837,7.837,8.551,9.511,9.415,9.564,9.564
B.SANTANDER,2.097,2.097,2.097,2.208,2.248,2.215,2.165,2.165
BA.SABADELL,0.426,0.426,0.426,0.438,0.45,0.445,0.444,0.444
BANKIA,0.956,0.956,0.956,1.009,1.008,1.012,1.037,1.037
BANKINTER,3.085,3.085,3.085,3.188,3.36,3.3,3.503,3.504
BBVA,2.748,2.748,2.748,2.98,2.927,2.959,3.003,3.004
CAIXABANK,1.619,1.619,1.619,1.714,1.742,1.771,1.744,1.744
CELLNEX,44.65,44.65,44.65,44.29,43.36,43.3,45.28,45.28
CIE AUTOMOT.,13.01,13.01,13.01,13.65,13.61,13.75,13.77,13.77
ENAGAS,18.46,18.46,18.46,18.77,19.11,19.04,20.09,20.09
ENCE,2.742,2.742,2.742,2.877,2.801,2.756,2.775,2.775
ENDESA,18.445,18.445,18.445,18.675,18.875,18.735,19.92,19.92
FERROVIAL,20.36,20.36,20.36,20.96,22.73,22.38,23.1,23.1
GRIFOLS CL.A,30.18,30.18,30.18,30.68,29.88,29.49,29.68,29.68
IAG,2.25,2.25,2.25,2.444,2.748,2.846,2.813,2.813
IBERDROLA,9.05,9.05,9.05,9.102,9.046,8.922,9.107,9.108
INDITEX,21.98,21.98,21.98,23.1,24.49,24.34,25.26,25.26
INDRA A,6.86,6.86,6.86,7.025,7.855,8.125,8.295,8.295
INM.COLONIAL,8.015,8.015,8.015,8.565,8.635,8.72,8.84,8.84
MAPFRE,1.541,1.541,1.541,1.619,1.729,1.695,1.751,1.752
MASMOVIL,14.51,14.51,14.51,15.9,16.73,16.84,16.62,16.62
MEDIASET,3.07,3.07,3.07,3.238,3.378,3.356,3.35,3.35
MELIA HOTELS,3.71,3.71,3.71,3.84,4.274,4.3,4.37,4.37
MERLIN,7.1,7.1,7.1,7.305,8.085,7.92,8.32,8.32
NATURGY,15.73,15.73,15.73,16.085,15.955,15.975,16.11,16.11
R.E.C.,15.67,15.67,15.67,15.69,15.48,15.04,15.495,15.495
REPSOL,8.252,8.252,8.252,8.452,8.464,8.362,8.286,8.286
SIEMENS GAME,13.5,13.5,13.5,13.625,13.7,13.74,13.64,13.64
TELEFONICA,4.045,4.045,4.045,4.235,4.396,4.368,4.324,4.324
VISCOFAN,49.5,49.5,49.5,49.72,50.55,49.58,49.32,49.32
